Probe_ID,median
cg00003994,0.064
cg00008671,0.296
cg00017842,0.742
cg00017970,0.494
cg00023464,0.683
cg00025138,0.02
cg00027162,0.282
cg00029246,0.528
cg00036119,0.462
cg00036347,0.234
cg00043095,0.034
cg00043599,0.679
cg00048759,0.424
cg00049440,0.155
cg00050402,0.53
cg00052482,0.839
cg00056497,0.619
cg00059225,0.41
cg00060320,0.023
cg00060374,0.76
cg00066239,0.885
cg00067518,0.912
cg00073460,0.547
cg00073543,0.191
cg00075967,0.849
cg00079056,0.935
cg00083937,0.66
cg00084338,0.568
cg00085493,0.216
cg00088042,0.05
cg00089550,0.482
cg00091693,0.849
cg00095976,0.088
cg00096065,0.963
cg00099240,0.652
cg00101154,0.627
cg00102512,0.952
cg00108164,0.02
cg00113951,0.072
cg00115654,0.24
cg00117599,0.455
cg00126959,0.018
cg00131893,0.699
cg00135293,0.605
cg00137209,0.039
cg00158122,0.338
cg00161556,0.558
cg00168942,0.652
cg00181968,0.083
cg00192773,0.797
cg00194146,0.192
cg00200653,0.078
cg00211115,0.615
cg00223715,0.872
cg00228017,0.078
cg00229508,0.759
cg00230271,0.047
cg00232500,0.8
cg00238295,0.753
cg00241664,0.898
cg00252095,0.94
cg00252534,0.795
cg00257455,0.106
cg00261781,0.017
cg00271522,0.075
cg00276799,0.19
cg00277334,0.534
cg00277397,0.822
cg00282953,0.884
cg00290758,0.846
cg00295744,0.367
cg00296038,0.883
cg00297600,0.741
cg00297950,0.051
cg00300637,0.679
cg00302979,0.936
cg00310410,0.827
cg00312921,0.156
cg00316485,0.211
cg00329270,0.045
cg00330279,0.015
cg00332048,0.539
cg00332802,0.955
cg00335286,0.748
cg00335735,0.826
cg00338702,0.172
cg00342891,0.868
cg00343092,0.081
cg00344422,0.354
cg00346145,0.094
cg00346985,0.565
cg00347369,0.16
cg00347775,0.864
cg00347863,0.691
cg00350702,0.051
cg00356999,0.946
cg00374717,0.95
cg00376639,0.045
cg00384539,0.044
cg00388262,0.963
cg00397986,0.058
cg00398048,0.348
cg00401091,0.02
cg00410898,0.095
cg00412772,0.539
cg00412805,0.93
cg00412842,0.127
cg00417288,0.956
cg00417823,0.803
cg00423487,0.639
cg00431549,0.293
cg00436603,0.8
cg00448560,0.855
cg00454305,0.51
cg00456299,0.108
cg00461022,0.653
cg00462168,0.026
cg00462994,0.13
cg00463859,0.74
cg00466268,0.186
cg00480331,0.088
cg00481159,0.84
cg00481951,0.208
cg00486113,0.364
cg00488692,0.164
cg00489401,0.238
cg00491255,0.963
cg00492070,0.888
cg00495693,0.253
cg00497251,0.148
cg00500789,0.928
cg00503840,0.207
cg00505045,0.218
cg00509996,0.808
cg00512563,0.539
cg00513984,0.435
cg00515905,0.937
